customer_id,age,tenure_months,contract_type,internet_service,payment_method,monthly_charges,total_charges,tech_support,online_security,paperless_billing,num_support_calls,satisfaction_score,churn
21,19,13,Two year,DSL,Electronic check,15.06,248.59,No,No,Yes,1,5.0,No
22,41,40,Two year,DSL,Electronic check,65.62,2671.05,Yes,No,Yes,3,3.7,No
23,61,7,Month-to-month,Fiber optic,Electronic check,71.21,465.15,Yes,Yes,Yes,0,5.0,Yes
24,47,18,One year,DSL,Electronic check,146.06,2613.31,Yes,Yes,Yes,2,1.6,No
25,55,13,Two year,Fiber optic,Bank transfer,36.38,506.02,No,No,Yes,1,2.5,No
26,19,49,Two year,Fiber optic,Bank transfer,35.33,1663.58,Yes,No,Yes,1,1.0,No
27,38,60,Month-to-month,No,Mailed check,98.61,5815.52,No,No,Yes,4,2.0,No
28,50,35,Month-to-month,Fiber optic,Credit card,25.56,916.15,No,Yes,No,3,2.6,Yes
29,29,66,Two year,Fiber optic,Bank transfer,98.85,6580.55,Yes,No,No,1,4.0,Yes
30,39,44,Two year,Fiber optic,Electronic check,70.0,3033.46,No,No,Yes,1,2.1,No
31,61,71,Two year,DSL,Bank transfer,15.35,1079.19,No,No,Yes,2,2.5,No
32,42,6,Month-to-month,Fiber optic,Bank transfer,74.49,447.08,No,Yes,No,2,5.0,No
33,66,21,Two year,Fiber optic,Credit card,114.73,2377.83,Yes,No,Yes,0,3.5,No
34,44,8,One year,DSL,Electronic check,32.9,190.26,Yes,No,Yes,4,3.8,Yes
35,59,59,Month-to-month,DSL,Electronic check,39.78,2498.68,Yes,No,No,3,3.5,No
36,45,41,One year,DSL,Credit card,46.65,1930.9,Yes,No,No,4,3.5,No
37,33,58,Month-to-month,Fiber optic,Mailed check,67.63,3889.43,No,No,No,1,2.4,Yes
38,32,39,Two year,No,Mailed check,143.14,5508.18,No,No,Yes,1,4.1,Yes
39,64,28,One year,Fiber optic,Bank transfer,24.52,719.93,No,Yes,Yes,2,1.9,Yes
40,68,54,One year,Fiber optic,Bank transfer,125.93,6750.38,No,No,Yes,1,4.0,No
41,61,63,Two year,Fiber optic,Mailed check,123.1,7777.11,Yes,No,Yes,0,1.7,Yes
42,72,41,Month-to-month,DSL,Credit card,77.87,3166.57,Yes,No,No,0,3.3,No
43,69,28,Month-to-month,Fiber optic,Electronic check,33.37,939.51,Yes,Yes,No,3,2.9,Yes
44,74,20,Two year,Fiber optic,Bank transfer,97.64,1928.54,No,Yes,Yes,0,3.5,Yes
45,20,62,One year,DSL,Bank transfer,112.65,7032.43,No,No,Yes,1,4.4,No
46,54,62,Month-to-month,Fiber optic,Credit card,35.96,2233.35,No,No,Yes,2,3.0,No
47,68,37,Month-to-month,Fiber optic,Electronic check,109.36,3971.61,No,No,Yes,1,3.3,No
48,24,65,One year,No,Electronic check,139.27,9015.03,Yes,Yes,Yes,4,1.7,No
49,38,11,Two year,Fiber optic,Credit card,40.58,448.18,Yes,Yes,No,2,2.9,Yes
50,26,32,Month-to-month,Fiber optic,Mailed check,31.97,1085.5,No,Yes,Yes,2,3.2,No
51,56,0,Month-to-month,Fiber optic,Electronic check,105.03,84.77,Yes,No,Yes,1,4.5,No
52,35,67,Two year,DSL,Bank transfer,79.95,5405.11,Yes,Yes,No,0,3.8,No
53,21,27,Month-to-month,Fiber optic,Bank transfer,130.28,3483.47,Yes,Yes,Yes,1,5.0,No
54,42,61,One year,Fiber optic,Electronic check,84.65,5275.75,No,Yes,Yes,2,2.3,No
55,31,58,One year,DSL,Mailed check,125.82,7297.38,No,No,Yes,2,2.4,No
56,67,48,One year,DSL,Credit card,68.34,3325.86,No,No,Yes,2,1.8,No
57,26,44,Month-to-month,Fiber optic,Electronic check,41.48,1928.97,No,Yes,No,2,3.3,Yes
58,43,5,One year,No,Credit card,65.69,380.3,No,No,No,1,2.0,No
59,70,19,Month-to-month,DSL,Electronic check,63.54,1287.54,Yes,No,No,2,4.5,No
60,19,15,Month-to-month,Fiber optic,Bank transfer,55.43,838.68,No,No,Yes,0,2.8,No
61,37,11,Two year,DSL,Credit card,46.62,638.02,No,No,Yes,1,4.1,No
62,45,51,Two year,Fiber optic,Electronic check,67.19,3446.32,No,No,No,1,3.3,No
63,64,19,One year,DSL,Bank transfer,146.17,2812.88,No,No,Yes,1,2.2,Yes
64,24,57,Month-to-month,Fiber optic,Mailed check,81.38,4645.65,No,No,Yes,2,2.2,No
65,61,44,Month-to-month,DSL,Electronic check,33.74,1579.71,No,Yes,No,3,3.1,Yes
66,25,1,Month-to-month,DSL,Credit card,46.75,109.53,Yes,Yes,Yes,1,3.3,No
67,64,33,Month-to-month,No,Electronic check,62.65,2121.09,Yes,No,No,3,3.1,No
68,52,25,Month-to-month,Fiber optic,Bank transfer,40.44,1131.34,No,No,Yes,2,3.6,No
69,31,32,Month-to-month,No,Electronic check,115.14,3713.76,Yes,No,Yes,4,3.9,No
70,34,41,Two year,No,Bank transfer,121.74,5025.23,No,No,Yes,4,4.0,Yes
71,53,64,Month-to-month,No,Bank transfer,123.35,7890.04,Yes,No,No,1,3.2,No
72,67,7,Month-to-month,No,Bank transfer,138.63,966.94,No,No,Yes,1,3.4,Yes
73,57,64,One year,DSL,Mailed check,130.93,8330.2,No,No,Yes,3,5.0,No
74,21,9,Month-to-month,Fiber optic,Credit card,93.4,923.91,Yes,No,Yes,1,2.6,No
75,19,31,Month-to-month,Fiber optic,Electronic check,82.41,2523.98,Yes,No,Yes,3,3.5,No
76,23,50,Month-to-month,DSL,Bank transfer,123.09,6071.79,No,Yes,No,3,3.2,No
77,71,56,Month-to-month,DSL,Mailed check,145.34,8138.94,Yes,Yes,Yes,2,2.0,Yes
78,59,39,Month-to-month,DSL,Credit card,19.12,627.33,No,No,No,1,4.1,No
79,21,65,Month-to-month,Fiber optic,Credit card,63.65,4127.1,No,Yes,No,0,2.5,No
80,71,30,Month-to-month,DSL,Bank transfer,105.18,3149.82,Yes,No,No,1,2.8,No
81,46,62,One year,Fiber optic,Bank transfer,63.26,3878.07,Yes,No,Yes,2,4.7,No
82,35,67,Two year,DSL,Bank transfer,117.98,7896.07,No,No,Yes,4,1.0,Yes
83,43,55,One year,DSL,Bank transfer,121.89,6741.74,No,No,Yes,2,2.7,No
84,61,11,Month-to-month,No,Mailed check,107.19,1104.48,No,No,No,2,4.8,No
85,51,30,Month-to-month,DSL,Mailed check,36.39,1151.09,No,Yes,No,4,3.2,No
86,27,22,Month-to-month,No,Electronic check,140.89,3134.82,No,Yes,Yes,0,2.4,Yes
87,53,32,Two year,Fiber optic,Mailed check,59.3,1893.53,No,No,No,1,4.3,No
88,31,7,One year,DSL,Electronic check,146.97,1045.19,Yes,No,Yes,1,2.2,No
89,48,61,Month-to-month,Fiber optic,Credit card,62.52,3793.81,No,No,Yes,0,3.4,No
90,65,14,One year,Fiber optic,Credit card,36.7,503.83,No,No,Yes,3,2.0,No
91,32,40,Month-to-month,DSL,Electronic check,53.93,2170.11,Yes,No,Yes,1,3.9,Yes
92,25,51,Month-to-month,DSL,Mailed check,124.96,6330.16,No,Yes,Yes,2,2.5,No
93,31,25,Two year,Fiber optic,Electronic check,56.6,1449.42,No,No,Yes,2,3.1,No
94,40,11,Month-to-month,DSL,Electronic check,95.72,1098.2,No,No,Yes,0,4.3,No
95,74,26,One year,Fiber optic,Mailed check,108.94,2857.66,No,No,No,0,4.3,Yes
96,57,67,Month-to-month,DSL,Credit card,56.09,3730.93,No,No,No,2,1.5,No
97,38,29,Month-to-month,Fiber optic,Credit card,104.61,3034.27,No,No,No,4,1.5,Yes
98,33,3,Two year,DSL,Mailed check,35.85,109.24,Yes,No,No,4,3.3,No
99,62,53,One year,DSL,Mailed check,100.09,5289.56,No,No,No,2,2.9,No
100,35,33,Two year,DSL,Mailed check,103.41,3418.51,No,No,Yes,0,3.9,No
101,64,67,Month-to-month,Fiber optic,Credit card,19.42,1314.56,No,No,Yes,3,3.7,No
102,70,55,Two year,DSL,Electronic check,54.7,2962.25,No,Yes,No,3,2.1,No
103,41,17,Two year,Fiber optic,Mailed check,15.82,257.45,No,Yes,Yes,0,3.6,No
104,43,46,Month-to-month,DSL,Mailed check,121.98,5545.0,Yes,No,No,1,4.7,Yes
105,42,71,Month-to-month,DSL,Electronic check,75.29,5377.02,Yes,Yes,No,1,3.8,No
106,62,59,Month-to-month,Fiber optic,Mailed check,72.62,4298.48,No,Yes,No,1,1.1,No
107,58,58,Month-to-month,Fiber optic,Bank transfer,76.68,4438.78,Yes,No,No,2,5.0,No
108,46,1,Month-to-month,Fiber optic,Mailed check,69.58,83.98,No,No,No,4,3.8,No
109,32,15,Month-to-month,DSL,Bank transfer,37.23,567.73,Yes,Yes,No,2,4.3,No
110,62,57,One year,Fiber optic,Bank transfer,104.37,5935.55,No,No,Yes,1,4.8,No
111,18,11,Month-to-month,DSL,Credit card,138.84,1542.08,No,No,No,1,2.9,Yes
112,42,4,Month-to-month,No,Bank transfer,148.2,654.32,Yes,No,Yes,3,2.5,No
113,24,38,Month-to-month,DSL,Bank transfer,122.58,4649.69,Yes,No,No,2,2.3,No
114,26,14,One year,DSL,Mailed check,67.48,1029.83,No,Yes,No,1,2.7,No
115,41,71,Month-to-month,Fiber optic,Mailed check,90.97,6459.89,Yes,No,Yes,4,2.6,Yes
116,18,18,Month-to-month,DSL,Mailed check,16.71,336.65,No,Yes,Yes,0,3.6,No
117,61,48,Month-to-month,Fiber optic,Credit card,63.06,3127.95,No,No,Yes,2,1.9,No
118,25,38,Month-to-month,DSL,Bank transfer,105.63,4023.62,No,Yes,Yes,0,4.5,No
119,41,14,Month-to-month,Fiber optic,Credit card,135.76,1815.03,Yes,Yes,Yes,1,3.2,No
120,28,54,Month-to-month,No,Bank transfer,29.92,1646.96,No,No,No,0,5.0,No
121,68,66,Month-to-month,Fiber optic,Bank transfer,27.38,1788.43,Yes,No,No,0,1.5,No
122,34,55,Month-to-month,No,Credit card,35.83,1963.28,No,No,Yes,1,1.6,No
123,25,44,Month-to-month,No,Electronic check,34.52,1476.14,No,Yes,Yes,1,2.8,Yes
124,52,56,Two year,Fiber optic,Bank transfer,120.91,6774.53,No,No,No,2,3.8,No
125,52,66,Month-to-month,DSL,Mailed check,111.07,7353.18,Yes,Yes,Yes,2,1.0,Yes
126,50,5,Month-to-month,No,Electronic check,137.11,624.48,No,No,Yes,3,4.4,No
127,22,69,One year,No,Bank transfer,54.69,3720.86,No,No,No,1,1.0,Yes
128,59,30,Month-to-month,DSL,Credit card,106.75,3300.56,No,No,No,1,3.1,No
129,56,21,Month-to-month,DSL,Mailed check,64.22,1391.32,Yes,Yes,Yes,2,2.7,No
130,58,37,Month-to-month,No,Mailed check,33.56,1238.18,No,No,No,2,4.4,Yes
131,45,57,One year,Fiber optic,Mailed check,121.12,6903.8,No,No,No,1,3.4,No
132,24,69,One year,Fiber optic,Bank transfer,99.4,6804.13,No,No,Yes,1,2.1,No
133,26,28,Two year,No,Credit card,109.93,2983.03,No,No,Yes,5,2.8,No
134,25,55,Month-to-month,Fiber optic,Credit card,37.0,2019.81,No,No,Yes,3,3.2,No
135,29,10,Month-to-month,No,Bank transfer,102.09,1015.63,Yes,No,Yes,2,3.3,No
136,51,47,Month-to-month,DSL,Bank transfer,56.76,2660.38,Yes,No,Yes,2,5.0,No
137,50,59,Month-to-month,Fiber optic,Credit card,48.96,2871.79,No,No,No,0,3.6,No
138,65,50,Two year,Fiber optic,Credit card,102.71,5098.61,No,Yes,No,2,3.8,No
139,72,38,Month-to-month,Fiber optic,Credit card,18.28,800.48,Yes,No,Yes,4,4.2,No
140,40,5,One year,Fiber optic,Mailed check,137.07,739.4,Yes,No,No,1,3.3,No
141,41,29,Month-to-month,DSL,Bank transfer,36.95,1029.22,Yes,No,No,2,3.5,No
142,54,0,Month-to-month,Fiber optic,Mailed check,71.6,58.82,No,No,Yes,3,3.8,No
143,52,8,Month-to-month,No,Mailed check,88.42,678.75,Yes,No,Yes,1,3.6,No
144,61,44,Month-to-month,No,Mailed check,127.71,5631.7,No,Yes,Yes,2,1.0,No
145,57,7,Month-to-month,Fiber optic,Electronic check,45.13,293.36,No,No,No,2,2.7,Yes
146,39,33,Month-to-month,DSL,Bank transfer,139.59,4569.92,No,No,No,2,2.7,Yes
147,44,7,Month-to-month,Fiber optic,Bank transfer,55.03,386.58,Yes,Yes,Yes,3,3.1,Yes
148,52,11,Month-to-month,DSL,Mailed check,87.62,916.53,No,No,Yes,2,2.7,No
149,18,42,Month-to-month,DSL,Electronic check,37.83,1547.82,No,No,Yes,0,2.4,No
150,52,55,Month-to-month,DSL,Credit card,99.02,5446.63,Yes,No,Yes,1,2.5,No
151,54,30,Month-to-month,DSL,Electronic check,36.16,1092.19,Yes,No,Yes,1,4.1,Yes
152,64,41,Month-to-month,Fiber optic,Electronic check,26.36,1074.67,No,No,Yes,0,5.0,No
153,31,32,Month-to-month,No,Mailed check,81.37,2600.9,Yes,No,Yes,0,2.3,Yes
154,20,18,Two year,Fiber optic,Credit card,109.17,1997.87,No,No,Yes,1,1.4,No
155,18,54,Month-to-month,DSL,Credit card,40.2,2171.33,No,Yes,Yes,1,5.0,Yes
156,22,3,Month-to-month,Fiber optic,Bank transfer,22.39,0.0,No,No,Yes,2,3.9,No
157,43,11,Month-to-month,DSL,Bank transfer,20.74,190.22,No,Yes,Yes,0,2.7,No
158,72,27,Month-to-month,DSL,Mailed check,15.2,369.14,No,No,No,1,1.4,No
159,31,57,Month-to-month,Fiber optic,Mailed check,46.55,2565.51,No,No,Yes,1,3.1,No
160,56,47,Month-to-month,No,Mailed check,131.98,6315.75,No,Yes,Yes,0,3.1,No
161,44,0,Month-to-month,DSL,Mailed check,76.03,0.0,No,Yes,Yes,0,4.2,No
162,26,43,Two year,No,Credit card,139.63,5920.29,Yes,No,Yes,1,4.3,No
163,32,62,Two year,DSL,Mailed check,48.67,3085.33,No,No,No,2,4.1,No
164,32,37,One year,DSL,Bank transfer,147.76,5487.13,No,Yes,Yes,2,3.2,No
165,43,8,Month-to-month,Fiber optic,Bank transfer,126.36,942.24,No,No,No,3,3.3,Yes
166,59,5,Month-to-month,DSL,Electronic check,120.82,579.03,Yes,No,No,1,2.5,Yes
167,30,69,Month-to-month,DSL,Bank transfer,95.4,6604.0,No,No,No,0,2.3,No
168,68,51,Two year,Fiber optic,Electronic check,41.45,2087.12,No,Yes,Yes,0,3.2,No
169,49,66,Two year,Fiber optic,Credit card,143.47,9440.86,No,Yes,Yes,3,3.4,No
170,56,15,One year,Fiber optic,Credit card,124.4,1861.04,Yes,No,Yes,0,4.6,No
171,66,1,One year,Fiber optic,Mailed check,127.37,152.87,No,Yes,No,0,2.6,Yes
172,69,35,Month-to-month,No,Electronic check,134.63,4648.3,No,Yes,Yes,1,3.5,No
173,49,70,One year,DSL,Credit card,49.81,3465.15,Yes,Yes,Yes,1,4.6,No
174,21,34,Two year,No,Mailed check,132.38,4441.04,Yes,No,Yes,2,2.9,No
175,47,29,Month-to-month,DSL,Bank transfer,81.19,2381.76,No,Yes,Yes,0,3.8,No
176,54,44,Two year,Fiber optic,Credit card,103.2,4553.25,No,No,Yes,2,3.9,No
177,40,45,Two year,No,Credit card,144.7,6484.14,No,No,No,3,3.3,No
178,56,64,One year,DSL,Credit card,136.32,8690.41,Yes,No,Yes,3,2.1,No
179,62,0,One year,DSL,Bank transfer,48.71,0.0,No,No,No,2,1.0,No
180,32,56,Month-to-month,No,Bank transfer,114.06,6369.83,No,No,Yes,2,4.2,No
181,60,70,Month-to-month,Fiber optic,Bank transfer,126.97,8913.25,No,Yes,No,3,3.2,Yes
182,46,66,Two year,Fiber optic,Mailed check,74.58,4903.21,Yes,No,Yes,0,1.4,No
183,53,30,Month-to-month,DSL,Mailed check,29.44,890.18,No,Yes,No,4,2.5,Yes
184,30,24,Two year,Fiber optic,Bank transfer,57.41,1366.87,Yes,No,Yes,1,1.4,No
185,49,46,Month-to-month,No,Electronic check,114.12,5269.43,Yes,Yes,Yes,0,3.0,Yes
186,24,55,Two year,Fiber optic,Electronic check,94.27,5247.87,Yes,Yes,Yes,2,3.0,No
187,68,0,Two year,No,Electronic check,119.17,0.0,No,No,Yes,2,3.5,No
188,39,36,One year,No,Mailed check,136.03,4829.06,No,No,Yes,2,1.0,Yes
189,45,66,Month-to-month,Fiber optic,Mailed check,59.01,3853.82,No,No,Yes,1,5.0,No
190,19,11,Two year,No,Mailed check,107.87,1248.77,Yes,No,Yes,3,3.4,No
191,59,19,One year,Fiber optic,Bank transfer,28.08,489.62,Yes,No,Yes,0,3.3,No
192,62,29,One year,DSL,Electronic check,104.71,3079.42,Yes,No,No,1,2.1,No
193,74,63,Month-to-month,DSL,Bank transfer,19.82,1181.47,No,No,Yes,3,3.4,Yes
194,70,63,Month-to-month,Fiber optic,Credit card,49.02,3085.34,No,No,No,1,1.4,No
195,23,17,Month-to-month,DSL,Credit card,75.5,1319.88,Yes,No,Yes,2,3.5,Yes
196,45,31,Month-to-month,DSL,Credit card,129.1,3993.45,Yes,No,Yes,1,3.3,No
197,45,18,Month-to-month,No,Credit card,35.06,622.25,No,No,No,0,4.7,No
198,61,32,One year,Fiber optic,Credit card,120.29,3836.94,Yes,Yes,Yes,3,4.4,No
199,61,61,Month-to-month,No,Electronic check,91.22,5510.21,Yes,Yes,Yes,1,3.9,No
200,37,21,Month-to-month,DSL,Bank transfer,76.71,1618.96,No,Yes,No,1,3.3,Yes
201,47,28,Month-to-month,DSL,Electronic check,101.7,2904.82,Yes,Yes,No,3,3.0,No
202,28,3,Month-to-month,Fiber optic,Credit card,61.52,200.19,Yes,No,Yes,1,2.4,No
203,72,49,One year,DSL,Credit card,149.27,7380.05,No,No,Yes,0,3.9,No
204,45,3,Month-to-month,DSL,Credit card,29.92,100.15,No,No,No,2,4.9,No
205,42,4,One year,No,Mailed check,33.71,140.94,No,Yes,Yes,0,2.4,No
206,56,38,Month-to-month,No,Mailed check,134.34,5087.71,Yes,No,No,0,1.9,No
207,50,56,Two year,Fiber optic,Credit card,44.58,2496.47,No,No,No,1,2.2,No
208,18,30,Two year,No,Bank transfer,23.25,674.37,Yes,Yes,No,3,3.6,No
209,74,6,Month-to-month,DSL,Bank transfer,135.29,858.15,No,No,Yes,0,2.3,No
210,44,11,One year,Fiber optic,Electronic check,23.43,168.86,Yes,No,Yes,3,2.0,No
211,74,9,Month-to-month,Fiber optic,Mailed check,131.07,1214.48,Yes,No,Yes,4,1.7,No
212,69,28,Month-to-month,Fiber optic,Credit card,86.63,2485.73,No,Yes,No,0,4.7,No
213,30,12,Month-to-month,No,Bank transfer,87.14,1074.1,No,Yes,No,1,3.4,No
214,58,69,Two year,Fiber optic,Mailed check,32.67,2220.26,No,Yes,Yes,2,4.1,No
215,20,30,One year,Fiber optic,Bank transfer,100.1,2959.58,Yes,Yes,Yes,1,4.8,No
216,56,8,Month-to-month,DSL,Electronic check,64.99,570.98,Yes,No,No,0,4.1,No
217,23,50,Month-to-month,Fiber optic,Bank transfer,63.95,3214.22,Yes,No,No,0,3.9,Yes
218,25,15,Month-to-month,DSL,Electronic check,109.1,1658.19,No,No,No,2,2.2,Yes
219,44,58,Month-to-month,Fiber optic,Electronic check,132.15,7594.84,No,Yes,No,1,3.2,No
220,26,57,Month-to-month,DSL,Mailed check,113.74,6489.21,No,No,No,3,3.0,Yes
221,54,10,One year,Fiber optic,Bank transfer,107.06,1122.11,No,No,No,3,2.1,Yes
222,50,35,Month-to-month,Fiber optic,Bank transfer,134.63,4686.13,No,No,No,1,3.5,No
223,68,0,Two year,DSL,Mailed check,136.53,0.0,No,No,No,2,2.1,No
224,59,20,Two year,DSL,Credit card,114.41,2308.58,No,No,No,1,2.2,No
225,61,43,Two year,Fiber optic,Electronic check,125.74,5392.82,Yes,No,No,1,3.4,No
226,41,36,Month-to-month,No,Electronic check,47.58,1667.22,No,No,No,2,3.3,Yes
227,32,5,Month-to-month,Fiber optic,Mailed check,106.97,457.91,Yes,No,Yes,3,1.8,Yes
228,71,13,One year,Fiber optic,Electronic check,81.04,1062.56,No,No,No,3,2.8,No
229,49,0,One year,No,Electronic check,129.63,46.36,Yes,No,Yes,1,4.2,Yes
230,49,7,One year,Fiber optic,Electronic check,144.73,969.92,Yes,Yes,No,1,3.3,Yes
231,41,43,One year,Fiber optic,Electronic check,51.09,2184.37,Yes,Yes,Yes,3,2.8,Yes
232,58,26,Month-to-month,DSL,Bank transfer,105.63,2797.23,No,No,No,0,4.6,No
233,69,35,Month-to-month,Fiber optic,Mailed check,130.4,4513.95,Yes,Yes,Yes,1,2.0,Yes
234,66,41,Month-to-month,DSL,Mailed check,107.02,4436.98,No,No,No,2,3.3,No
235,66,19,Month-to-month,DSL,Bank transfer,107.9,2137.55,No,No,No,0,2.1,Yes
236,69,7,Two year,Fiber optic,Mailed check,125.36,894.88,Yes,No,Yes,2,2.6,No
237,29,45,Month-to-month,No,Mailed check,109.85,5000.17,Yes,Yes,No,0,4.1,No
238,56,51,Month-to-month,Fiber optic,Electronic check,126.65,6428.79,No,No,Yes,0,3.1,No
239,19,25,Two year,Fiber optic,Bank transfer,148.81,3770.23,No,No,No,1,2.3,No
240,20,34,One year,DSL,Mailed check,88.44,2888.32,Yes,Yes,Yes,1,2.9,No
241,66,59,Two year,Fiber optic,Bank transfer,104.9,6216.18,No,No,No,0,2.6,No
242,54,2,One year,Fiber optic,Credit card,98.06,268.58,Yes,Yes,Yes,1,2.1,No
243,66,3,One year,No,Electronic check,53.06,185.72,No,Yes,Yes,2,2.2,Yes
244,73,61,One year,DSL,Electronic check,127.48,7749.76,Yes,No,No,1,4.4,No
245,34,63,Month-to-month,DSL,Bank transfer,67.15,4296.33,No,No,No,2,2.5,No
246,66,49,Month-to-month,DSL,Credit card,143.89,7093.87,No,Yes,No,0,3.1,No
247,19,18,One year,DSL,Electronic check,126.65,2310.45,No,Yes,Yes,2,2.2,No
248,19,42,Month-to-month,Fiber optic,Credit card,35.93,1557.43,Yes,No,Yes,0,3.8,Yes
249,45,13,One year,DSL,Credit card,23.08,244.18,No,No,Yes,2,3.5,No
250,71,13,Month-to-month,Fiber optic,Bank transfer,33.92,560.72,Yes,No,Yes,1,1.8,No
251,40,53,Month-to-month,DSL,Mailed check,120.12,6352.41,No,Yes,Yes,2,1.9,Yes
252,54,28,Month-to-month,Fiber optic,Electronic check,113.44,3122.16,No,Yes,Yes,4,2.2,Yes
253,49,2,Month-to-month,DSL,Electronic check,96.31,195.67,No,No,No,3,4.5,Yes
254,50,4,Month-to-month,DSL,Credit card,39.48,165.4,No,No,Yes,1,4.3,No
255,18,4,One year,No,Mailed check,75.72,370.61,No,No,Yes,2,3.5,No
256,36,44,Two year,DSL,Credit card,87.25,3879.61,No,No,No,0,1.0,No
257,19,63,Month-to-month,Fiber optic,Mailed check,146.02,9159.73,No,No,Yes,3,4.1,Yes
258,70,63,Month-to-month,Fiber optic,Electronic check,44.51,2792.31,Yes,No,No,2,2.7,No
259,61,42,One year,No,Mailed check,62.45,2676.62,No,No,Yes,4,3.2,No
260,43,42,Two year,Fiber optic,Credit card,101.76,4352.77,Yes,No,Yes,1,3.8,No
261,49,50,Two year,DSL,Credit card,43.42,2145.0,Yes,Yes,Yes,4,4.0,No
262,23,12,One year,Fiber optic,Credit card,39.18,544.89,No,Yes,No,2,5.0,No
263,49,67,Two year,Fiber optic,Mailed check,74.7,4945.17,No,No,Yes,0,2.6,No
264,72,68,Two year,Fiber optic,Mailed check,85.31,5786.11,Yes,No,Yes,2,2.3,Yes
265,21,6,Month-to-month,Fiber optic,Electronic check,107.92,659.92,No,No,Yes,1,3.7,No
266,72,41,Month-to-month,Fiber optic,Bank transfer,117.64,4872.93,No,No,Yes,2,2.4,Yes
267,28,4,Month-to-month,No,Bank transfer,132.3,594.64,No,No,No,1,4.1,No
268,73,46,Month-to-month,No,Mailed check,60.75,2856.99,Yes,Yes,Yes,1,2.0,No
269,34,47,Month-to-month,DSL,Bank transfer,83.05,3936.21,No,No,Yes,4,2.6,No
270,55,46,One year,DSL,Mailed check,131.55,6114.84,No,Yes,No,1,2.5,No
271,41,7,Month-to-month,No,Bank transfer,77.55,503.37,No,Yes,Yes,1,2.0,Yes
272,22,20,One year,No,Mailed check,33.66,742.19,No,Yes,Yes,2,3.6,No
273,69,23,Two year,DSL,Electronic check,73.78,1684.56,No,No,Yes,1,3.0,No
274,51,12,Month-to-month,Fiber optic,Electronic check,118.93,1401.5,No,No,Yes,0,3.4,Yes
275,23,14,Month-to-month,DSL,Credit card,78.37,1101.6,Yes,No,No,1,3.1,No
276,39,52,One year,DSL,Electronic check,48.09,2469.64,No,Yes,No,0,1.2,Yes
277,28,71,One year,DSL,Credit card,142.09,10169.82,No,No,No,1,1.0,No
278,65,30,Month-to-month,DSL,Mailed check,56.14,1750.64,Yes,No,No,0,2.1,Yes
279,33,70,Month-to-month,DSL,Credit card,85.11,5952.39,No,Yes,No,3,2.0,Yes
280,50,50,Month-to-month,DSL,Mailed check,62.67,3132.43,Yes,No,Yes,1,2.5,No
281,26,46,Two year,Fiber optic,Credit card,71.29,3307.06,No,Yes,No,0,1.8,No
282,23,38,One year,Fiber optic,Bank transfer,101.85,3860.2,Yes,Yes,No,2,2.1,Yes
283,33,56,Two year,No,Mailed check,79.96,4471.55,No,No,No,1,4.0,No
284,46,49,Month-to-month,No,Electronic check,28.79,1390.77,No,Yes,Yes,1,2.6,No
285,20,56,One year,No,Credit card,83.66,4693.83,No,No,Yes,3,5.0,No
286,37,34,Month-to-month,Fiber optic,Bank transfer,55.24,1829.15,No,Yes,No,0,2.1,No
